ID_ev_booking;date_start;title;subtitle;room;tag1_E;tag2_E;genre;cast_full;program_full
000000e9:0018c9a6;2024-09-07T19:30:00;Emanuel Ax, Leonidas Kavakos, Yo-Yo Ma;An evening with Beethoven and Brahms;Grand Auditorium;Classical Hits;Instrument Focus;Chamber;Emanuel Ax (piano) | Yo-Yo Ma (violoncelle) | Leonidas Kavakos (violon);Johannes Brahms — Klaviertrio N° 2 | Ludwig van Beethoven — Klaviertrio op. 97 «Erzherzog» | Franz Schubert — Bis: Klaviertrio D 898: 2. Andante un poco mosso | John Williams — Bis: Theme from Schindler's List (arr. John Williams)
000000e9:0018f1be;2024-09-11T19:00:00;pOpera;;Salle de Musique de Chambre;;;0;Paulo Lameiro (Künstlerische Leitung) | Tim Wollmann (Musik) | Antoine Pohu (texte) | Anisha Bondy (mise en scène) | Mariana Souza (assistance à la mise en scène) | Ivan Boumans (direction) | Stephany Ortega (soprano) | Stephany Ortega (Vocal Coaching) | Jean Bermes (baryton) | Jean-Jacques Mailliet (violon) | Beatriz Jimenez (violoncelle) | Maria Miteva (flûte) | Yves Popow (marimba) | Amit Dhuri (percussion) | Amit Dhuri (Coaching) | Pueri Cantores du Conservatoire de la Ville de Luxembourg (chœur) | David Laplant (vidéo) | Pauline Rouet-Chabaux (hautbois) | Marie Urwald (flûte) | Lynn Scheidweiler (décors) | Amber Fasquelle (Alt) | Ezgi Göktürk (piano);
000000e9:0015f5ab;2024-09-11T19:30:00;Christian Thielemann & Wiener Philharmoniker;Ein Heldenleben;Grand Auditorium;Classical Hits;Soulful;Orchestra;Wiener Philharmoniker (orchestre) | Christian Thielemann (direction);Felix Mendelssohn Bartholdy — Symphonie N° 3 «Schottische» / «Écossaise» | Richard Strauss — Ein Heldenleben (Une vie de héros) | Richard Strauss — Bis: Mondscheinmusik aus Capriccio
000000e9:0018f1bc;2024-09-12T19:00:00;pOpera;;Salle de Musique de Chambre;;;0;Paulo Lameiro (Künstlerische Leitung) | Tim Wollmann (Musik) | Antoine Pohu (texte) | Anisha Bondy (mise en scène) | Mariana Souza (assistance à la mise en scène) | Ivan Boumans (direction) | Stephany Ortega (soprano) | Stephany Ortega (Vocal Coaching) | Jean Bermes (baryton) | Jean-Jacques Mailliet (violon) | Beatriz Jimenez (violoncelle) | Maria Miteva (flûte) | Yves Popow (marimba) | Amit Dhuri (percussion) | Amit Dhuri (Coaching) | Pueri Cantores du Conservatoire de la Ville de Luxembourg (chœur) | David Laplant (vidéo) | Pauline Rouet-Chabaux (hautbois) | Marie Urwald (flûte) | Lynn Scheidweiler (décors) | Amber Fasquelle (Alt) | Ezgi Göktürk (piano);
000000e9:0017345f;2024-09-17T19:30:00;Yuja Wang & Anna Lapwood;The Piano and the Organ at the Symphony;Grand Auditorium;Epic;Instrument Focus;Orchestra;London Symphony Orchestra (orchestre) | Sir Antonio Pappano (direction) | Yuja Wang (piano) | Anna Lapwood (orgue);Hector Berlioz — Le Carnaval romain | Sergueï Rachmaninov — Concerto pour piano et orchestre N° 1 | Sergueï Rachmaninov — Bis: Prélude op. 23/5 | Philip Glass — Bis: Étude N° 6 | Camille Saint-Saëns — Symphonie N° 3 «Avec orgue» / «Orgelsymphonie» | Gabriel Fauré — Bis: Pavane op. 50
000000e9:00192a7b;2024-09-18T12:30:00;Lunch with the Luxembourg Philharmonic;;Grand Auditorium;Mood-booster;Intimate;Orchestra;Luxembourg Philharmonic | Gustavo Gimeno (direction);Sergueï Prokofiev — Symphonie N° 3 (extraits)
000000e9:00186c56;2024-09-20T19:30:00;Colours & Contrasts;with Seong-Jin Cho;Grand Auditorium;Epic;Instrument Focus;Orchestra;Luxembourg Philharmonic (orchestre) | Gustavo Gimeno (direction) | Seong-Jin Cho (piano) | Simon Van Hoecke (trompette);Maurice Ravel — Ma mère l’Oye (Mutter Gans). Cinq pièces enfantines pour orchestre | Dmitri Chostakovitch — Concerto pour piano, trompette et orchestre à cordes | Maurice Ravel — Bis: Sonatine en fa dièse mineur (fis-moll): 2. Mouvement de Menuet | Sergueï Prokofiev — Symphonie N° 3
000000e9:0019d45c;2024-09-20T21:00:00;Soirée de rentrée PhilaPhil;;0000010f:0000014d;;;0;;
000000e9:00199a1f;2024-09-21T19:30:00;Oumou Sangaré;Timbuktu;Grand Auditorium;World;Thought-provoking;World;Oumou Sangaré (vocals) | Julien Pestre (guitar) | Élise Blanchard (bass) | Abou Diarra (kamele n'goni) | Jon Grandcamp (Drums) | Kandy Guira (backing vocals) | Emma Lamadji (backing vocals) | Alexandre Millet (Keyboards);
000000e9:001a18dc;2024-09-21T19:30:00;Souvenirs de Rachmaninov;Patricia Heidsieck, Jean-Thomas Lopez et Théophile Thierry;Salle de Musique de Chambre;;;0;Patricia Heidsieck (piano) | Théophile et Isabela Thierry-Scheible (piano) | Jean-Thomas Lopez (piano);Œuvres de Debussy, Rachmaninov, Ravel,...
000000e9:00196c6d;2024-09-22T11:00:00;Clarinet and company;;Salle de Musique de Chambre;Intimate;Instrument Focus;Chamber;Ryoko Yano (violon) | Gayané Grigoryan (violon) | Ryou Banno (alto) | Vincent Gérin (violoncelle) | Arthur Stockel (clarinette);Franz Krommer — Quintett für Klarinette und Streicherop. 95 | Robert Fuchs — Klarinettenquintett op. 102
000000e9:001962ad;2024-09-23T19:30:00;Été indien;;Grand Auditorium;;;0;Orchestre de Chambre du Luxembourg (orchestre de chambre) | Chloé van Soeterstède (direction) | Alena Baeva (violon);Katarina Leyman — Roller Coaster: Super 8 | Wolfgang A. Mozart — Violinkonzert N° 5 KV 219 | Felix Mendelssohn Bartholdy — Symphonie N° 4 «Italienische» / «Italienne»
000000e9:00186c58;2024-09-27T19:30:00;Sokhiev conducts Mahler 1;;Grand Auditorium;Classical Hits;Soulful;Orchestra;Luxembourg Philharmonic (orchestre) | Tugan Sokhiev (direction) | Jean-Frédéric Neuburger (piano);Robert Schumann — Klavierkonzert | Johann Sebastian Bach — Bis: Partita BWV 827: 2. Allemande | Gustav Mahler — Symphonie N° 1 «Titan»
000000e9:001946ed;2024-09-28T11:00:00;D’Sich nom verluerene Séipäerd;Eng spannend musikalesch Aventure;Espace Découverte;;;;Clara Hertz (Schauspill) | Caroline Richards (Regie) | Anja Di Bartolomeo (Text) | Elena Selena (Illustratiounen) | Nihan Devecioğlu (Sopran) | Yorgos Pervolarakis (Gittar) | Ragna Heiny (Kostümer) | Magaly Teixeira (Schauspill) | Ragna Heiny (Bün) | Ragna Heiny (Video) | Yorgos Pervolarakis (Stëmm) | Yorgos Pervolarakis (Kompositioun) | Yorgos Pervolarakis (Sound Design) | Yorgos Pervolarakis (Live Electronics) | Nihan Devecioğlu (Kompositioun) | Nihan Devecioğlu (Sound Design);
000000e9:001946ef;2024-09-29T11:00:00;D’Sich nom verluerene Séipäerd;Eng spannend musikalesch Aventure;Espace Découverte;;;;Clara Hertz (Schauspill) | Caroline Richards (Regie) | Anja Di Bartolomeo (Text) | Elena Selena (Illustratiounen) | Nihan Devecioğlu (Sopran) | Yorgos Pervolarakis (Gittar) | Ragna Heiny (Kostümer) | Magaly Teixeira (Schauspill) | Ragna Heiny (Bün) | Ragna Heiny (Video) | Yorgos Pervolarakis (Stëmm) | Yorgos Pervolarakis (Kompositioun) | Yorgos Pervolarakis (Sound Design) | Yorgos Pervolarakis (Live Electronics) | Nihan Devecioğlu (Kompositioun) | Nihan Devecioğlu (Sound Design);
